#1:iter	2:compliance	3:duration	4:volume	5:greyness	6:lambda	7:lambda_iters
0 	147.355 	716.649 	0.5 	0.999978 	-1 	-1
1 	69.7345 	22.207 	0.499999 	0.87082 	358.117 	23
2 	48.5793 	22.41 	0.5 	0.721004 	299.302 	16
3 	39.1129 	22.7 	0.5 	0.687975 	229.997 	17
4 	37.0375 	22.723 	0.5 	0.671378 	150.059 	19
5 	36.2048 	22.731 	0.5 	0.668355 	125.538 	19
6 	35.5073 	22.628 	0.5 	0.649433 	114.743 	17
7 	34.5223 	22.576 	0.500001 	0.632242 	107.526 	13
8 	32.9092 	35.13 	0.500001 	0.588211 	95.8165 	14
9 	30.9092 	36.014 	0.5 	0.518485 	76.8741 	18
10 	29.2191 	35.456 	0.5 	0.432297 	55.7437 	17
11 	28.0877 	25.101 	0.500001 	0.360371 	41.7819 	15
12 	27.3219 	34.946 	0.500001 	0.307027 	33.9098 	17
13 	26.7521 	35.402 	0.5 	0.264719 	29.1526 	17
14 	26.3312 	35.105 	0.500001 	0.233244 	26.4249 	12
15 	26.0284 	36.331 	0.499999 	0.210925 	24.9731 	16
16 	25.8089 	37.371 	0.500001 	0.194784 	24.2054 	15
17 	25.6475 	30.854 	0.5 	0.183906 	24.1497 	16
18 	25.5257 	35.826 	0.5 	0.176144 	24.2531 	15
19 	25.4308 	38.67 	0.5 	0.170463 	24.5318 	14
20 	25.3545 	33.965 	0.5 	0.165952 	24.5918 	15
21 	25.2891 	35.899 	0.499999 	0.162334 	24.7393 	14
22 	25.233 	33.046 	0.5 	0.159437 	24.8367 	13
23 	25.1835 	35.316 	0.500001 	0.15714 	25.2699 	14
24 	25.1385 	35.37 	0.499999 	0.155226 	25.7337 	14
25 	25.0976 	26.801 	0.500001 	0.15367 	26.1826 	14
26 	25.0599 	22.663 	0.499999 	0.152466 	26.5613 	12
27 	25.0241 	23.935 	0.500001 	0.151456 	27.0367 	14
28 	24.9913 	22.89 	0.500001 	0.150526 	27.4278 	12
29 	24.9645 	22.778 	0.499999 	0.149736 	27.5672 	14
30 	24.9425 	23.257 	0.499999 	0.149067 	27.6883 	9
31 	24.9232 	22.556 	0.500001 	0.148478 	27.8036 	14
32 	24.9055 	22.437 	0.5 	0.147935 	27.9004 	12
33 	24.8895 	22.32 	0.499999 	0.147468 	27.9719 	11
34 	24.8747 	22.104 	0.5 	0.147053 	28.114 	14
